,Fahrzeugklasse,Fahrzeugart_Code,Fahrzeugart,Marken_Code,Marke,Marke_und_Typ,Typ1,Typ2,Typ3,Typ4,Typengenehmigungs-Nr,Typengenehmigungs-Nr_Zusatz,Karosserieform_Code,Karosserieform,Farbe,Farbe_Zusatz,Sitzplätze,Sitzplätze_vorne,Stehplätze,Leergewicht,Nutzlast,Gesamtgewicht,Gesamtzugsgewicht,Anhängelast,Dachlast,Tankinhalt_Aufbaus,Hubraum,Zylinder,Leistung,Motorkennzeichen,Treibstoff_Code,Treibstoff,CO2,Emissionscode,Energieeffizienzkategorie,Getriebe_Code,Getriebe,Getriebe_Detailcode,Antrieb_Code,Antrieb,Achsen,Erstinverkehrsetzung_Jahr,Erstinverkehrsetzung_Monat,Erstinvekehrsetzung_Kanton,Erstinverkehrsetzung_Staat,Gebrauchtcode,Ersterfassung_Jahr,Ersterfassung_Monat,Schildfarbe_Code,Schildfarbe,Schildart_Code,Schildart,Inverkehrsetzung_Status_Code,Inverkehrsetzung_Kanton,PLZ,Ort,BFS-Gemeinde-Nr,Staat_Code,Staat,Halterart_Code,Halterart,Besondere_Verwendung_Code,Besondere_Verwendung,Unnamed: 63
1389729,N1,30,Lieferwagen,3019,FIAT,FIAT Doblo 1.9JTD105CV,Doblo 1.9JTD105CV,Doblo,1.9JTD105CV,,3FA653,,147,Kasten,Gelb,,2,2,0,1405,775,2180,0,1300,100,0,1910,4,74.0,223B1000,D,Diesel,158.0,B04,,M,Mechanisch,M5,V,Vorderrad,2,2007,8,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4022,CH,Schweiz,3,juristisch,,,
3552046,M1,1,Personenwagen,4050,OPEL,OPEL Vectra B25 Cvan,Vectra B25 Cvan,Vectra,B25,Cvan,1OA659,,161,Stationswagen,Grau,,5,2,0,1453,557,2010,0,1500,100,0,2498,6,125.0,,B,Benzin,240.0,B02,G,M,Mechanisch,M5,V,Vorderrad,2,2000,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2292,CH,Schweiz,1,männlich,,,
3571214,M1,1,Personenwagen,4050,OPEL,OPEL Corsa D 14,Corsa D 14,Corsa,D,14,1OB222,,163,Limousine,Grau,Metallic,5,2,0,1163,452,1615,0,0,75,0,1364,4,66.0,Z14XEP,B,Benzin,149.0,B04,G,,,M5,V,Vorderrad,2,2008,5,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1066,CH,Schweiz,1,männlich,,,
4003653,L1,61,Kleinmotorrad,3238,PIAGGIO,PIAGGIO Typhoon 45,Typhoon 45,Typhoon,45,,6PA405,,285,Roller,Gelb,,1,1,0,160,110,270,0,0,0,0,49,1,2.1,,B,Benzin,,C00,,S,Stufenlos,S,H,Hinterrad,2,1998,6,Kanton,,,,,2.0,"Gelb, Kleinmotorrad",N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1082,CH,Schweiz,2,weiblich,,,
3346623,L7,66,Kleinmotorfahrzeug,2824,MONNIER,MONNIER MR 400,MR 400,MR,400,,6MB814,,175,Offen,Rot,,2,1,0,355,145,500,0,0,0,0,397,1,14.7,,B,Benzin,,C01,,S,Stufenlos,S5M,A,Allrad,2,2009,4,Kanton,,,,,1.0,Weiss (Motorrad),N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4276,CH,Schweiz,1,männlich,,,
3875383,M1,1,Personenwagen,2076,PEUGEOT,Peugeot 208 1.6 VTi,208 1.6 VTi,208,1.6,VTi,1PB406,,163,Limousine,Grau,,5,2,0,1226,401,1627,0,0,70,0,1598,4,88.0,5FS / 5F01,B,Benzin,149.0,B5b,G,A,Automat,A4,V,Vorderrad,2,2015,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6633,CH,Schweiz,1,männlich,,,
5074376,,81,Landw. Motorkarren,7102,SUZUKI,SUZUKI S J 410,S J 410,S,J,410,871101,,308,Kabine,Grün,,2,2,0,880,335,1215,0,1000,0,0,970,4,27.5,,B,Benzin,,D00,C,M,Mechanisch,M,A,Allrad,2,1988,6,Kanton,,,,,3.0,"Grün, Landw. Fahrzeug",N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,784,CH,Schweiz,2,weiblich,,,
4496004,N3,35,Lastwagen,6400,SCANIA,SCANIA P124GB8X4,P124GB8X4,P124GB8X4,,,3SA270,,238,Brücke mit Ladekran,Weiss,,2,2,0,21650,10350,32000,0,0,0,0,11705,6,309.0,,D,Diesel,,E03,,M,Mechanisch,M8,H,Hinterrad,4,2004,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,360,CH,Schweiz,3,juristisch,,,
4520920,M1,1,Personenwagen,6903,SEAT,SEAT Leon,Leon,Leon,,,1SB794,,163,Limousine,Schwarz,,5,2,0,1414,421,1835,0,0,50,0,1896,4,110.0,,D,Diesel,146.0,B03,E,M,Mechanisch,M6,V,Vorderrad,2,2003,9,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3203,CH,Schweiz,1,männlich,,,
2662041,,61,Kleinmotorrad,3184,MALAGUTI,MALAGUTI Firefox F15,Firefox F15,Firefox,F15,,6MB902,,285,Roller,Grau,,2,1,0,171,79,250,0,0,0,0,49,1,1.78,,B,Benzin,,C00,,S,Stufenlos,S,H,Hinterrad,2,1999,10,Kanton,,,,,2.0,"Gelb, Kleinmotorrad",N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,843,CH,Schweiz,1,männlich,,,
1122950,M1,1,Personenwagen,3500,DACIA,DACIA Sandero 90,Sandero 90,Sandero,90,,1DD106,,163,Limousine,Schwarz,Metallic,5,2,0,1115,435,1550,0,0,80,0,898,3,66.0,H4BB4,B,Benzin,115.0,B6b,E,M,Mechanisch,M5,V,Vorderrad,2,2017,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3292,CH,Schweiz,1,männlich,,,
